,index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
21,30,isuzu,sedan,0.1815384615384613,0.4417910447761193,ohc,four,0.125,0.3235294117647059,0.040597281920047704
22,31,isuzu,sedan,0.18769230769230752,0.22089552238805987,ohc,four,0.09166666666666666,0.7352941176470589,
23,32,isuzu,sedan,0.18769230769230752,0.22089552238805987,ohc,four,0.09166666666666666,0.7352941176470589,
24,33,jaguar,sedan,0.7569230769230767,0.8731343283582089,dohc,six,0.5333333333333333,0.058823529411764705,0.6732838082933738
25,34,jaguar,sedan,0.7569230769230767,0.8731343283582089,dohc,six,0.5333333333333333,0.058823529411764705,0.7552734229421849
26,35,jaguar,sedan,0.4184615384615383,0.7552238805970148,ohcv,twelve,0.8916666666666667,0.0,0.76645382493975
27,36,mazda,hatchback,0.14461538461538426,0.26865671641791045,ohc,four,0.08333333333333333,0.5,0.0010931948619841486
28,37,mazda,hatchback,0.14461538461538426,0.26865671641791045,ohc,four,0.08333333333333333,0.5294117647058824,0.023453998857114463
29,38,mazda,hatchback,0.14461538461538426,0.26865671641791045,ohc,four,0.08333333333333333,0.5294117647058824,0.04084573529777137
30,39,mazda,hatchback,0.21230769230769206,0.4164179104477613,rotor,two,0.22083333333333333,0.11764705882352941,0.1663146910482248
31,43,mazda,sedan,0.5076923076923077,0.5059701492537314,ohc,four,0.1,0.5294117647058824,0.32778454123083806
32,44,mercedes-benz,sedan,0.6646153846153844,0.7432835820895524,ohc,five,0.3125,0.2647058823529412,0.5068697358940595
33,45,mercedes-benz,wagon,0.6646153846153844,0.7432835820895524,ohc,five,0.3125,0.2647058823529412,0.5738527665283609
34,46,mercedes-benz,sedan,1.0,1.0,ohcv,eight,0.5666666666666667,0.029411764705882353,0.8896867002906904
35,47,mercedes-benz,hardtop,0.7261538461538459,0.8671641791044775,ohcv,eight,0.5666666666666667,0.029411764705882353,1.0
36,49,mitsubishi,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.7058823529411765,0.005913190389823349
37,50,mitsubishi,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.5294117647058824,0.02578946060771696
38,51,mitsubishi,sedan,0.2430769230769228,0.4671641791044778,ohc,four,0.16666666666666666,0.35294117647058826,0.045665730825610575
39,52,mitsubishi,sedan,0.2430769230769228,0.4671641791044778,ohc,four,0.16666666666666666,0.35294117647058826,0.075480136152451
40,53,nissan,sedan,0.18769230769230752,0.3611940298507465,ohc,four,0.029166666666666667,0.9411764705882353,0.048398717980570945
41,54,nissan,sedan,0.18769230769230752,0.3611940298507465,ohc,four,0.0875,0.5294117647058824,0.03721831598300579
42,55,nissan,sedan,0.18769230769230752,0.3611940298507465,ohc,four,0.0875,0.5294117647058824,0.042187383537479195
43,56,nissan,wagon,0.18769230769230752,0.43432835820895516,ohc,four,0.0875,0.5294117647058824,0.0546100524236627
44,57,nissan,sedan,0.36923076923076925,0.6492537313432836,ohcv,six,0.43333333333333335,0.17647058823529413,0.20740887972371985
45,61,porsche,hardtop,0.03384615384615367,0.41492537313432853,ohcf,six,0.6625,0.11764705882352941,0.7174588188526423
46,62,porsche,convertible,0.03384615384615367,0.41492537313432853,ohcf,six,0.6625,0.11764705882352941,0.7919948321697433
47,63,porsche,hatchback,0.3076923076923077,0.5164179104477611,dohcv,eight,1.0,0.11764705882352941,
48,66,toyota,hatchback,0.22461538461538452,0.26268656716417904,ohc,four,0.058333333333333334,0.6470588235294118,0.004894531541156302
49,67,toyota,hatchback,0.22461538461538452,0.26268656716417904,ohc,four,0.058333333333333334,0.5294117647058824,0.029491415935799646
50,68,toyota,hatchback,0.22461538461538452,0.26268656716417904,ohc,four,0.058333333333333334,0.5294117647058824,0.0332182166016547
51,69,toyota,wagon,0.22461538461538452,0.42686567164179096,ohc,four,0.058333333333333334,0.5294117647058824,0.04390171184377251
52,70,toyota,wagon,0.22461538461538452,0.42686567164179096,ohc,four,0.058333333333333334,0.4117647058823529,0.0682501428606922
53,71,toyota,wagon,0.22461538461538452,0.42686567164179096,ohc,four,0.058333333333333334,0.4117647058823529,0.09011404010037516
54,79,toyota,wagon,0.4953846153846152,0.6970149253731346,dohc,six,0.45,0.17647058823529413,0.263335735049318
55,80,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.016666666666666666,0.7058823529411765,0.06519416631469105
56,81,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.15416666666666667,0.4117647058823529,0.07016323386916445
57,82,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.016666666666666666,0.7058823529411765,0.07066014062461179
58,86,volkswagen,sedan,0.2738461538461536,0.4567164179104477,ohc,four,0.21666666666666667,0.38235294117647056,0.12035081616934583
59,87,volvo,sedan,0.48923076923076897,0.711940298507463,ohc,four,0.275,0.29411764705882354,0.1935203359089667
60,88,volvo,wagon,0.48923076923076897,0.711940298507463,ohc,four,0.275,0.29411764705882354,0.205321871350841
